_id,Gemeente,CBS gemeentecode,Nummer stembureau,Naam stembureau,Gebruikersdoel het gebouw,Website locatie,Wijknaam,CBS wijknummer,Buurtnaam,CBS buurtnummer,BAG referentienummer,Straatnaam,Huisnummer,Huisnummertoevoeging,Postcode,Plaats,Extra adresaanduiding,X,Y,Longitude,Latitude,Districtcode,Openingstijden,Mindervaliden toegankelijk,Invalidenparkeerplaatsen,Akoestiek,Mindervalide toilet aanwezig,Kieskring ID,Hoofdstembureau,Contactgegevens,Beschikbaarheid,ID,UUID
11,Veldhoven,GM0861,12,Basisschool De Berckacker,"bijeenkomstfunctie, onderwijsfunctie",,Wijk 01 Noordelijk Woongebied,WK086101,Heikant-West,BU08610100,0861200000417643,Norenberg,23,,5508DJ,Veldhoven,,,,5.38674451,51.42481107,,2017-03-21T07:30:00 tot 2017-03-21T21:00:00,N,,,,Veldhoven,Veldhoven,"Team Verkiezingen, verkiezingen@veldhoven.nl 14 040 gemeente Veldhoven. Burgerzaken/Team Verkiezingen Postbus 10101, 5500 GA Veldhoven",https://www.veldhoven.nl/stemlokalen,NLODSGM0861stembureaus20180321002,d070d3ece5d04e028bc104699d33c38c
12,Haaren,GM0788,3,HelvoirThuis,"bijeenkomstfunctie, onderwijsfunctie, sportfunctie",htttps://www.haaren.nl,Wijk 02 Helvoirt,WK078802,Helvoirt,BU07880200,0788200000006586,Kloosterstraat,30,,5268AC,Helvoirt,,,,5.23084,51.634094,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,Y,Haaren,Haaren,"HelvoirThuis, Kloosterstraat 30, 5268 AC Helvoirt. telefoon via gemeente Haaren 0411-627282",https://www.haaren.nl,NLODSGM0788stembureaus20180321002,0a45aad52b7d4081b210f0d538840a78
13,Neder-Betuwe,GM1740,16,Ons Dorpshuis,bijeenkomstfunctie,,Wijk 00 Kesteren,WK174000,Kesteren,BU17400000,1740200000107172,Nedereindsestraat,27,,4041XE,Kesteren,Nedereindsestraat 27a Kesteren,,,5.567964,51.9321914,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Neder-Betuwe,Neder-Betuwe,verkiezingen@nederbetuwe.nl,https://www.nederbetuwe.nl,NLODSGM1740stembureaus20180321002,cd08adb161d345f9868d6821be271324
14,Druten,GM0225,1,Gemeentehuis,kantoorfunctie,https://www.druten.nl/,Druten,WK022500,Druten,BU02250001,0225200000001890,Heuvel,1,,6651DA,Druten,,,,5.60454947,51.88865982,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,Y,Druten,Druten,verkiezingen@druten.nl,https://www.druten.nl/bestuur-organisatie/stembureaus_44633/,NLODSGM0225stembureaus20180321002,ae4ca338094e41c98d50f90644caf3d0
15,Neder-Betuwe,GM1740,18,Zorgcentrum Elim,"woonfunctie, gezondheidszorgfunctie",,Wijk 01 Echteld,WK174001,Ochten,BU17400100,1740200000101690,Bartus van de Walstraat,2,,4051AK,Ochten,Bartus van de Walstraat 2 Ochten,,,5.5636915,51.9060368,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Neder-Betuwe,Neder-Betuwe,verkiezingen@nederbetuwe.nl,https://www.nederbetuwe.nl,NLODSGM1740stembureaus20180321002,8bd8dbc4396f4226af958621b46d4b3f
16,Geertruidenberg,GM0779,2,Mauritsstaete,kantoorfunctie,,Wijk 02 Geertruidenberg,WK077902,Geertruidenberg-West,BU07790201,0779200000008312,Stadsweg,9,01,4931HV,Geertruidenberg,,,,4.8476809,51.7017327,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Geertruidenberg,Geertruidenberg,"Projectteam Verkiezingen, info@geertruidenberg.nl 140162 Vrijheidstraat 2 4941 DX",https://www.geertruidenberg.nl/,NLODSGM0779stembureaus20180321002,43d976b6b5174bb08d1d9d6960084092
17,Wijk bij Duurstede,GM0352,4,Revius Lyceum,onderwijsfunctie,,Wijk 00 Wijk bij Duurstede,WK035200,Wijk bij Duurstede,BU03520000,0352200000219394,Remus,4,,3962KT,Wijk bij Duurstede,,,,5.3383967,51.9817971,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Wijk bij Duurstede,Wijk bij Duurstede,verkiezingen@wijkbijduurstede.nl,https://www.wijkbijduurstede.nl/,NLODSGM0352stembureaus20180321002,1366eeb9593a46dab4b493db54373545
18,Elburg,GM0230,3,Kulturhus 't Huiken,bijeenkomstfunctie,https://huiken.nl/,Wijk 01 Elburg,WK023001,Oostendorp,BU02300104,0230100000016774,Clakenweg,146,,8081LZ,Elburg,hoofdingang,,,5.848319,52.44510269,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,Y,Elburg,Elburg,"Team verkiezingen, gemeente Elburg verkiezingen@elburg.nl",https://www.elburg.nl/Bestuur/Verkiezingen,NLODSGM0230stembureaus20180321002,15bc2daba81d4e81a94438b853c88833
19,Weesp,GM0457,4,Vechtstede college,"bijeenkomstfunctie, onderwijsfunctie, sportfunctie, overige gebruiksfunctie",,Hogewey,WK045703,Hogewey Zuid,BU04570303,0457200000198790,Amstellandlaan,1,,1382CD,Weesp,ingang Diemerdijkstraat,,,5.03118523,52.30977739,,2018-03-21T07:00:00 tot 2018-03-21T21:00:00,Y,Y,,,Weesp,Weesp,"bureau Verkiezingen, verkiezingen@weesp.nl 0294491391 Gemeente Weesp verkiezingen afdeling Publiekszaken & Bedrijfsvoering Postbus 5099 1380 BD Weesp",https://www.weesp.nl/bestuur-organisatie/actualiteiten_42675/item/verkiezingen-op-woensdag-21-maart-2018_95074.html,NLODSGM0457stembureaus20180321002,128ccdaace8441c0b3dbbc3050037fd2
20,Horst aan de Maas,GM1507,25,Gemeenschapshuis De Smêlentôs,bijeenkomstfunctie,,Wijk 12 Evertsoorsd,WK150712,Everstoord,BU15071200,1507201000007393,Patersstraat,22,,5977NM,Evertsoord, ,,,5.95657211,51.40093286,,2018-03-21T10:00:00 tot 2018-03-21T15:00:00,N,N,,N,Horst aan de Maas,Horst aan de Maas,"Team KCC/Burgerzaken, postbusburgerzaken@horstaandemaas.nl 077-4779706 Postbus 6005 5960 AA Horst",https://www.horstaandemaas.nl/verkiezingen,NLODSGM1507stembureaus20180321002,376da38fdd2f4fa084aa6e4a5079bbd9
21,Veldhoven,GM0861,7,Clubgebouw Sentrum '70,bijeenkomstfunctie,,Wijk 00 Veldhoven,WK086100,D'Ekker,BU08610003,0861200000391877,Handwijzer,34,,5503VE,Veldhoven,,,,5.40505189,51.41378269,,2017-03-21T07:30:00 tot 2017-03-21T21:00:00,N,,,,Veldhoven,Veldhoven,"Team Verkiezingen, verkiezingen@veldhoven.nl 14 040 gemeente Veldhoven. Burgerzaken/Team Verkiezingen Postbus 10101, 5500 GA Veldhoven",https://www.veldhoven.nl/stemlokalen,NLODSGM0861stembureaus20180321002,389903aa3bde49f684d54d7665a05aa3
22,Haaren,GM0788,6,de Vorselaer,bijeenkomstfunctie,https://www.haaren.nl,Wijk 04 Biezenmortel,WK078804,Biezenmortel,BU07880400,0788200000001059,Capucijnenstraat,42,,5074PJ,Biezenmortel,,,,5.178259,51.626261,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,,Haaren,Haaren,"de Vorselaer, Capucijnenstraat 42, 5074 PJ Biezenmortel. Telefoon via gemeente Haaren 0411-627282",https://www.haaren.nl,NLODSGM0788stembureaus20180321002,35333011817c48b784587ad6442589fe
23,Elburg,GM0230,5,Verpleeghuis De Voord,gezondheidszorgfunctie,https://www.zorgverlening-hetbaken.nl/de-voord/,Wijk 01 Elburg,WK023001,Oostendorp,BU02300104,0230100000004988,Veldbloemenlaan,25,,8081DL,Elburg,hoofdingang,,,5.85823444,52.44614657,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,Y,Elburg,Elburg,"Team verkiezingen, gemeente Elburg verkiezingen@elburg.nl",https://www.elburg.nl/Bestuur/Verkiezingen,NLODSGM0230stembureaus20180321002,e9b8d8a8d4da4190a4f37897ea457466
24,Meerssen,GM0938,1,Bestuurscentrum (KCC),kantoorfunctie,,Wijk 00 Meerssen,WK093800,Meerssen,BU09380000,0938200000376198,Markt,50,,6231LS,Meerssen,,,,5.75451229999999,50.8843491,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,N,Y,Meerssen,Meerssen,"Team Verkiezingen, info@meerssen.nl, tel 14-043, Gemeente Meerssen Postbus 90 6230 AB Meerssen",https://www.meerssen.nl/bestuur_en_organisatie/verkiezingen_gemeenteraad_2018/verkiezingen_gemeenteraad_2018/,NLODSGM0938stembureaus20180321002,55d27b5af76c4dbdb1ea06ef0b855a43
25,Wijk bij Duurstede,GM0352,6,Basisschool De Horn,onderwijsfunctie,,Wijk 00 Wijk bij Duurstede,WK035200,Wijk bij Duurstede,BU03520000,0352200000018775,Overloop,2,,3961KE,Wijk bij Duurstede,,,,5.3325373,51.9760097,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Wijk bij Duurstede,Wijk bij Duurstede,verkiezingen@wijkbijduurstede.nl,https://www.wijkbijduurstede.nl/,NLODSGM0352stembureaus20180321002,4fcc92bb932f4da79f77e853d72d90ba
26,Cranendonck,GM1706,10,Gemeenschapshuis De Schaapskooi,bijeenkomstfunctie,,Wijk 05 Gastel,WK170605,Gastel,BU17060500,1706100000061786,'t Lange,20,,6028SG,Gastel,,,,5.55452087,51.28600973,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Cranendonck,Cranendonck,"Team Burgerdiensten, verkiezingen@cranendonck.nl 14-0495",https://www.cranendonck.nl,NLODSGM1706stembureaus20180321002,36e10cc1403c4640a8f723062a24e788
27,Heerlen,GM0917,7,Grotiuscollege,onderwijsfunctie,,Wijk 37 Bekkerveld,WK091737,Bekkerveld,BU09173700,0917200000105423,Akerstraat,117,,6417BM,Heerlen,,,,5.98669,50.8794212,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Heerlen,Heerlen,https://www.heerlen.nl,https://www.heerlen.nl,NLODSGM0917stembureaus20180321002,878b0b993d88479aa914a823c0236b09
28,Oudewater,GM0589,2,Zalencentrum,bijeenkomstfunctie,,Oudewater,WK058902,Kern Oudewater,BU05890201,0589200000256583,Westsingel,2,,3421TJ,Oudewater,,,,4.86855179999998,52.0236686,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Oudewater,Oudewater,"www.oudewater.nl, tel. 14 0348, burgerzaken@oudewater.nl",https://www.oudewater.nl/sites/default/files/stemdistricten%20%20in%20de%20gemeente%20oudewater%202018.pdf,NLODSGM0589stembureaus20180321002,ba4f2f209bec44498abc9b16ad1a28fe
29,Oudewater,GM0589,5,De Boezem,bijeenkomstfunctie,,Hekendorp,WK058901,Kern Hekendorp,BU05890101,0589200000264195,Prinses Wilhelminastraat,17,,3467PK,Hekendorp,,,,4.80956730000003,52.0159512,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Oudewater,Oudewater,"www.oudewater.nl, tel 14 0348, burgerzaken@oudewater.nl",https://www.oudewater.nl/sites/default/files/stemdistricten%20%20in%20de%20gemeente%20oudewater%202018.pdf,NLODSGM0589stembureaus20180321002,db630930b29842f3941e1210b1ac08e4
30,Tiel,GM0281,5,Centrum Oosthonk,bijeenkomstfunctie,,Tiel kern,WK028100,Het Ooij,BU02810007,0281200000049336,Meeslaan,2,,4005VR,Tiel,,,,5.44352248,51.89484391,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Tiel,Tiel,"Team Verkiezingen, verkiezingen@tiel.nl 0344-637111",https://www.tiel.nl/verkiezingen,NLODSGM0281stembureaus20180321002,d40ac80908554328b686e4e194688cf7
31,Zutphen,GM0301,4,Het Bornhof,overige gebruiksfunctie,,Wijk 01 Waterkwartier,WK030101,Warnsveldsewegkwartier-Zuid,BU03010103,0301200000018969,Hobbemakade,246,,7204TB,Zutphen,,,,6.20524934,52.13803509,4,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,Y,Zutphen,Zutphen,"Publiekszaken, info@zutphen.nl Tel. 14 0575 Gemeente Zutphen Publiekszaken/Verkiezingen Postbus 41 7200 AA Zutphen",https://www.zutphen.nl,NLODSGM0301stembureaus20180321002,0ecedb31a0c043b0a7971c7b649cfb22
32,Wijk bij Duurstede,GM0352,5,Basisschool De Wegwijzer,onderwijsfunctie,,Wijk 00 Wijk bij Duurstede,WK035200,Wijk bij Duurstede,BU03520000,0352200000015849,Karolingersweg,147,,3962AD,Wijk bij Duurstede,,,,5.335141,51.9773231,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Wijk bij Duurstede,Wijk bij Duurstede,verkiezingen@wijkbijduurstede.nl,https://www.wijkbijduurstede.nl/,NLODSGM0352stembureaus20180321002,5c8c9ced6dec4df4a95ab71d40d70c08
33,Elburg,GM0230,6,Dorpshuis De Deel,bijeenkomstfunctie,,Wijk 03 Doornspijk,WK023003,Doornspijk,BU02300300,0230100000000399,Oude Kerkweg,52,,8085AP,Doornspijk,hoofdingang,,,5.81610497,52.41930929,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,,Elburg,Elburg,"Team verkiezingen, gemeente Elburg verkiezingen@elburg.nl",https://www.elburg.nl/Bestuur/Verkiezingen,NLODSGM0230stembureaus20180321002,7d0702e2ff774afe9539989c65465fef
34,Druten,GM0225,3,Bondsgebouw,bijeenkomstfunctie,,Druten,WK022500,Druten,BU02250001,0225200000004730,Kattenburg,27,,6651AL,Druten,,,,5.61074977,51.89200388,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,N,,N,Druten,Druten,verkiezingen@druten.nl,https://www.druten.nl/bestuur-organisatie/stembureaus_44633/,NLODSGM0225stembureaus20180321002,48c91bf03dd64d7280baa4aba813b41f
35,Veldhoven,GM0861,8,RSZK Merefelt,"woonfunctie, gezondheidszorgfunctie",,Wijk 00 Veldhoven,WK086100,D'Ekker,BU08610003,0861200000420825,Parklaan,2,,5504GB,Veldhoven,,,,5.40619807,51.40969102,,2017-03-21T07:30:00 tot 2017-03-21T21:00:00,Y,,,,Veldhoven,Veldhoven,"Team Verkiezingen, verkiezingen@veldhoven.nl 14 040 gemeente Veldhoven. Burgerzaken/Team Verkiezingen Postbus 10101, 5500 GA Veldhoven",https://www.veldhoven.nl/stemlokalen,NLODSGM0861stembureaus20180321002,41f8928a6bb246caa03335c24d78cede
36,Utrecht,GM0344,203,Mobiel 3,,,Wijk 08 Zuidwest,WK034408,Kanaleneiland-Noord,BU03440832,0034420000086799,,,,,,Winkelcentrum Kanaleneiland. Op de stoep bij de kruising Trumanlaan met de Bernadottelaan.,,,5.0933182,52.0745461,,2018-03-21T11:00:00 tot 2018-03-21T13:30:00,,,,,Utrecht,Utrecht,"Team Verkiezingen, verkiezingen@utrecht.nl 030-2862002, Publiekszaken/Team Verkiezingen, Postbus 16200 3500 CE Utrecht",https://www.utrecht.nl/bestuur-en-organisatie/verkiezingen,NLODSGM0344stembureaus20180321002,49904470f92744aeb3b79db70d2cda51
37,Moerdijk,GM1709,22,Pestalozzihuis,woonfunctie,,Wijk 08 Heijningen,WK170908,Heijningen,BU17090800,1709200000439443,Hoge Heijningsedijk,4,,4794AA,Heijningen,,,,4.4096156,51.6560544,,2017-03-21T07:30:00 tot 2017-03-21T21:00:00,Y,,,,Moerdijk,Moerdijk,"Team verkiezingen, persoonsbeheer@moerdijk.nl 14 0168",http://www.moerdijk.nl/verkiezingen,NLODSGM1709stembureaus20180321002,14532b80a0734be7bc6405b19e4631f6
38,Zutphen,GM0301,8,Anne Flokstraschool,onderwijsfunctie,,Wijk 01 Waterkwartier,WK030101,Warnsveldsewegkwartier-Noord,BU03010104,0301200000572458,Emmalaan,2,,7204AS,Zutphen,,,,6.20578623,52.14227406,8,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,Y,Zutphen,Zutphen,"Publiekszaken, info@zutphen.nl Tel. 14 0575 Gemeente Zutphen Publiekszaken/Verkiezingen Postbus 41 7200 AA Zutphen",https://www.zutphen.nl,NLODSGM0301stembureaus20180321002,ff24aa4d81384aeb9be7c0b8edb861ff
39,Oegstgeest,GM0579,2,"Zorgcentrum ""van Wijckersloot""",gezondheidszorgfunctie,,Wijk 00 Oegstgeest,WK057900,Voscuyl,BU05790014,0579200000009867,van Wijckersloothplein,1,,2341BB,Oegstgeest,,,,4.46515658,52.18172858,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Oegstgeest,Oegstgeest,"Afdeling Publiekszaken, verkiezingen@oegstgeest.nl; 14 071; Gemeente Oegstgeest, Postbus 1270, 2340 BG Oegstgeest",https://www.oegstgeest.nl/gemeente/bestuur/gemeenteraadsverkiezingen-raadgevend-referendum-2018/waar-kan-ik-stemmen/,NLODSGM0579stembureaus20180321002,61d9b483f5f14ddc95f754f757407b99
40,Oudewater,GM0589,3,St. Jozef school,onderwijsfunctie,,Oudewater,WK058902,Klein Hekendorp,BU05890204,0589200000265330,De Cope,28,,3421XL,Oudewater,,,,4.86159180000004,52.0260683,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Oudewater,Oudewater,"www.oudewater, tel. 14 0348, burgerzaken@oudewater.nl",https://www.oudewater.nl/sites/default/files/stemdistricten%20%20in%20de%20gemeente%20oudewater%202018.pdf,NLODSGM0589stembureaus20180321002,830b44e8208243ebaf8cfff8bb869b15
41,Weesp,GM0457,2,Gebouw Papelaan 99,"bijeenkomstfunctie, kantoorfunctie, onderwijsfunctie, sportfunctie",,Hogewey,WK045703,Hogewey Midden,BU04570302,0457200000521192,Papelaan,99,,1382RK,Weesp,,,,5.03464003,52.31211034,,2018-03-21T07:00:00 tot 2018-03-21T21:00:00,Y,Y,,,Weesp,Weesp,"bureau Verkiezingen, verkiezingen@weesp.nl 0294491391 Gemeente Weesp verkiezingen afdeling Publiekszaken & Bedrijfsvoering Postbus 5099 1380 BD Weesp",https://www.weesp.nl/bestuur-organisatie/actualiteiten_42675/item/verkiezingen-op-woensdag-21-maart-2018_95074.html,NLODSGM0457stembureaus20180321002,d3f0357fbd684d29812f7020b8b78670
42,Elburg,GM0230,7,Dorpshuis Ons Huus,woonfunctie,,Wijk 03 Doornspijk,WK023003,Hoge Enk,BU02300304,0230100000017951,Oude Harderwijkerweg,51,,8085PE,Doornspijk,hoofdingang,,,5.84021258,52.43072567,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,,Elburg,Elburg,"Team verkiezingen, gemeente Elburg verkiezingen@elburg.nl",https://www.elburg.nl/Bestuur/Verkiezingen,NLODSGM0230stembureaus20180321002,75f19c4fff14452cb2e2d756baefc001
43,Veldhoven,GM0861,5,Ontmoetingscentrum Zeelst,bijeenkomstfunctie,,Wijk 00 Veldhoven,WK086100,Zeelst,BU08610002,0861200000407239,Sele,21,,5502NC,Veldhoven,,,,5.41761145,51.42501219,,2017-03-21T07:30:00 tot 2017-03-21T21:00:00,Y,,,,Veldhoven,Veldhoven,"Team Verkiezingen, verkiezingen@veldhoven.nl 14 040 gemeente Veldhoven. Burgerzaken/Team Verkiezingen Postbus 10101, 5500 GA Veldhoven",https://www.veldhoven.nl/stemlokalen,NLODSGM0861stembureaus20180321002,ce0b8d8ebdcb4dcd96be318855c5c285
44,Weesp,GM0457,7,Sporthal Aetsveld,"bijeenkomstfunctie, sportfunctie",,Aetsveld,WK045704,Aetsveld Noord,BU04570401,0457200000204863,Mr.C.Kooimancentrum,17,,1383ED,Weesp,,,,5.04314747,52.29887035,,2018-03-21T07:00:00 tot 2018-03-21T21:00:00,Y,Y,,,Weesp,Weesp,"bureau Verkiezingen, verkiezingen@weesp.nl 0294491391 Gemeente Weesp verkiezingen afdeling Publiekszaken & Bedrijfsvoering Postbus 5099 1380 BD Weesp",https://www.weesp.nl/bestuur-organisatie/actualiteiten_42675/item/verkiezingen-op-woensdag-21-maart-2018_95074.html,NLODSGM0457stembureaus20180321002,e3580bb4dacd48f9ba84ec1e81d5ee21
45,Weesp,GM0457,1,Stadhuis,kantoorfunctie,,Binnenstad,WK045700,Centrum,BU04570001,0457200000205490,Nieuwstraat,41,,1381BB,Weesp,,,,5.04282425,52.30670813,,2018-03-21T07:00:00 tot 2018-03-21T21:00:00,Y,Y,,Y,Weesp,Weesp,"bureau Verkiezingen, verkiezingen@weesp.nl 0294491391 Gemeente Weesp verkiezingen afdeling Publiekszaken & Bedrijfsvoering Postbus 5099 1380 BD Weesp",https://www.weesp.nl/bestuur-organisatie/actualiteiten_42675/item/verkiezingen-op-woensdag-21-maart-2018_95074.html,NLODSGM0457stembureaus20180321002,c6fbecbda10f41b3817ad596598eaed0
46,Wijk bij Duurstede,GM0352,12,Dorpshuis Langbroek,bijeenkomstfunctie,,Wijk 03 Langbroek,WK035203,Verspreide huizen Langbroek,BU03520309,0352200000220201,Prinsenplein,3,,3947PG,Langbroek,,,,5.329536,52.01576,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,,Wijk bij Duurstede,Wijk bij Duurstede,verkiezingen@wijkbijduurstede.nl,https://www.wijkbijduurstede.nl/,NLODSGM0352stembureaus20180321002,2a4b1cdef90d4f47a087bff3eacae602
47,Elburg,GM0230,4,Muziekschool De Spelerij,onderwijsfunctie,https://www.elburg.nl/Inwoners/Zorg_werk_en_jeugd/Jeugd_en_onderwijs/Muziekschool_De_Spelerij,Wijk 01 Elburg,WK023001,Elburg De Vrijheid,BU02300103,0230100000004439,De Wimpel,4,,8081JS,Elburg,,,,5.85414274,52.45058039,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,Y,,,Elburg,Elburg,"Team verkiezingen, gemeente Elburg verkiezingen@elburg.nl",https://www.elburg.nl/Bestuur/Verkiezingen,NLODSGM0230stembureaus20180321002,0d657bc7bc10402882bb011666eabc46
